Word	Timing	Adriana	Eliana	Silas	FOMA
l	249.485				l
est	249.86				ɛs
intervenu	249.96				ĩtɛʁvɛ̃y
Vitorien	250.825				vitoʁiɛ̃
en	251.68				ɛ̃
rient	251.74				ʁiɛ̃
Liu	251.8				ljy
etot	252.925				ɛto
l	254.2				l
ayet	254.23				ajɛtː
sentu	254.44				sɛ̃ty
predjier	254.76				pʁɛdʒjɛʁ
sovent	255.11				sovɛ̃
di	255.45				di
Rei	255.58				ʁej
Vitor	255.74				vitoʁ
et	256.1				ɛtː
l	256.16				l
ére	256.935				eʁə
quase	257.81				kazə
parti	258.11				paʁti
per	258.55				pɛʁ
dire	258.69				diʁə
etot	258.88				ɛto
semble	259.88				sɛmblə
que	260.875				kə
l	260.99				l
ache	261.09				aʃə
avu	261.34				avy
vingt	261.67				vĩg
se	262.33				sə
pâs	262.42				pa
trenta	262.78				tʁɛ̃ta
meinàs	263.55				mɛĩà
naturels	264.13				natyʁɛl
foura	264.92				fuʁa
di	265.22				di
mariadzo	265.33				maʁjadzo
et	266.31				ɛtː
todzor	266.61				todzoʁ
avoui	267.26				avwi
des	267.42				də
fenes	267.58				fɛ̃ə
deferentes	267.83				dɛfɛʁɛ̃tə
ceilla	268.5				sɛʎa
dens	268.89				dɛ̃
la	269.08				la
Valada	269.18				valada
d	269.63				d
Outa	269.74				uta
mis	270.145				mi
s	270.695				
est	271.03				ɛs
retint	271.13				ʁɛtĩ
per	271.83				pɛʁ
pâs	272.24				pa
totchier	272.47				tot͡ʃjɛʁ
la	272.88				la
sensibilità	273.01				sɛ̃ʃbilità
de	273.73				də
Batista	273.81				batista
L	275.21				l
at	276.02				a
adonc	276.2				adõk
continuâ	276.48				kõtĩya
Tounin	277.345				tunĩ
Drolamente	278.755				dʁolamɛ̃tə
lo	280.38				lo
plat	280.56				pla
que	280.91				kə
lamave	280.97				lamavə
depi	281.45				dɛpi
di	282.065				di
mouente	282.31				mwɛ̃tə
dijant	282.63				diʒã
paré	283.03				paʁe
l	283.58				l
ére	283.84				eʁə
lo	284.01				lo
polet	284.19				polɛtː
avoui	284.73				avwi
les	285.06				lə
ognons	285.09				oɲõ
Toteun	285.89				totə̃
lamave	287.07				lamavə
bien	287.63				biɛ̃
